cabang,latitude_cabang,longitude_cabang,lama_beroperasi_bulan,Omset Jan25,Omset Jan26,Persen Growth,Kategori_By_StdDev,Kategori_Percentile,Kategori_KPI_Atasan,Kategori_ZScore,Kategori_IQR
BR-0034,-7.795366393,107.1090388,113,74949480.88,268123894.6,257.74,Tinggi,Atas,Sangat Baik,High Performer,Extreme High
BR-0035,-4.974982632,103.5105363,83,136355430.1,626295040.5,359.31,Tinggi,Atas,Sangat Baik,High Performer,Extreme High
BR-0036,-8.040065475,105.3421809,43,50000000,40300137.48,-19.4,Sedang,Bawah,Kurang,Normal,Normal
BR-0037,-5.895504607,107.6450548,116,50000000,63973600.19,27.95,Sedang,Tengah,Baik,Normal,Normal
BR-0038,-9.148305186,102.8631157,35,57178312.07,66805599.63,16.84,Sedang,Tengah,Baik,Normal,Normal
BR-0039,-8.201079073,107.9467868,104,133262993,187878858.1,40.98,Sedang,Tengah,Baik,Normal,Normal
BR-0040,-5.913508146,106.7965055,78,73770138.37,74335695.97,0.77,Sedang,Tengah,Cukup,Normal,Normal
BR-0041,-5.10110013,108.2268249,58,50000000,73923359.94,47.85,Sedang,Tengah,Baik,Normal,Normal
BR-0042,-5.951747578,107.4053853,33,87778397.9,87157187.62,-0.71,Sedang,Tengah,Kurang,Normal,Normal
BR-0043,-6.382272424,110.2559511,14,50000000,58238175.12,16.48,Sedang,Tengah,Baik,Normal,Normal
BR-0044,-6.660455543,107.1586613,34,98820507.43,204358302.8,106.8,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0045,-8.426582986,105.7720861,61,83902367.12,59561765.41,-29.01,Sedang,Bawah,Kurang,Normal,Normal
BR-0046,-7.288566313,107.1513438,119,54587469.46,39795095.3,-27.1,Sedang,Bawah,Kurang,Normal,Normal
BR-0047,-6.899758156,108.2038451,4,50000000,75671793.3,51.34,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0048,-4.623116661,106.9677502,88,50000000,46427138.77,-7.15,Sedang,Bawah,Kurang,Normal,Normal
BR-0049,-5.693372566,106.9470792,59,90502714.42,97082713.27,7.27,Sedang,Tengah,Cukup,Normal,Normal
BR-0050,-8.853360233,105.0906208,29,137260110.6,121823488.4,-11.25,Sedang,Bawah,Kurang,Normal,Normal
BR-0051,-5.722674046,105.1883477,83,50000000,54803997.18,9.61,Sedang,Tengah,Cukup,Normal,Normal
BR-0052,-6.786423421,103.3390868,6,86446131.63,159010332.4,83.94,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0053,-7.224183,111.2195419,97,50000000,76042569.17,52.09,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0054,-5.291285567,103.7359419,49,50000000,77244470.24,54.49,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0055,-4.662300716,105.113337,40,64447702.59,40828211.07,-36.65,Sedang,Bawah,Kurang,Normal,Normal
BR-0056,-4.811879821,105.0495818,83,50000000,36976925.27,-26.05,Sedang,Bawah,Kurang,Normal,Normal
BR-0057,-7.467626285,109.0829109,117,50000000,3218426.81,-93.56,Sedang,Bawah,Kurang,Normal,Normal
BR-0058,-6.672618564,106.1082258,65,50000000,43812383.58,-12.38,Sedang,Bawah,Kurang,Normal,Normal
BR-0059,-5.711904853,109.9649552,69,78241881.95,123831961.5,58.27,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0060,-4.745482309,105.1618734,27,58679593.8,82549197.19,40.68,Sedang,Tengah,Baik,Normal,Normal
BR-0061,-6.927561357,107.5430854,80,50000000,55569734.74,11.14,Sedang,Tengah,Baik,Normal,Normal
BR-0062,-6.487288465,104.7572324,6,50000000,59553994.33,19.11,Sedang,Tengah,Baik,Normal,Normal
BR-0063,-7.868302461,112.2084728,104,50000000,46222289.15,-7.56,Sedang,Bawah,Kurang,Normal,Normal
BR-0064,-8.003109936,103.876604,13,86409825.78,110769062.7,28.19,Sedang,Tengah,Baik,Normal,Normal
BR-0065,-4.990011266,107.6201518,112,50000000,75317565.59,50.64,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0066,-4.174439957,108.4300422,64,50000000,27682264.25,-44.64,Sedang,Bawah,Kurang,Normal,Normal
BR-0067,-6.316815182,107.8800977,62,50000000,65992953.76,31.99,Sedang,Tengah,Baik,Normal,Normal
BR-0068,-4.703500653,106.3823809,99,151032056.5,237569490.2,57.3,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0069,-5.666345962,106.5210483,19,52116226.79,53886087.83,3.4,Sedang,Tengah,Cukup,Normal,Normal
BR-0070,-7.176479632,106.9551287,76,82622565.47,122304551.4,48.03,Sedang,Tengah,Baik,Normal,Normal
BR-0071,-5.666706592,106.478095,80,71467566.12,166223680.4,132.59,Sedang,Atas,Sangat Baik,Normal,Extreme High
BR-0072,-3.90174515,109.2552978,43,50000000,57913144.14,15.83,Sedang,Tengah,Baik,Normal,Normal
BR-0073,-6.262539059,112.3719075,74,104106433.2,141306037.5,35.73,Sedang,Tengah,Baik,Normal,Normal
BR-0074,-3.861834516,105.4518705,89,74718472.1,67603567.47,-9.52,Sedang,Bawah,Kurang,Normal,Normal
BR-0075,-10.13841766,103.4210926,20,89072498.31,113344795.5,27.25,Sedang,Tengah,Baik,Normal,Normal
BR-0076,-4.975946243,106.6248949,95,692447252.8,958422232.2,38.41,Sedang,Tengah,Baik,Normal,Normal
BR-0077,-6.078229398,113.2948733,68,50000000,63896846.81,27.79,Sedang,Tengah,Baik,Normal,Normal
BR-0078,-6.657311026,104.8364136,44,184806148.9,146388992.6,-20.79,Sedang,Bawah,Kurang,Normal,Normal
BR-0079,-6.071158835,110.943392,23,55258431.24,70871408.59,28.25,Sedang,Tengah,Baik,Normal,Normal
BR-0080,-9.190153372,111.039852,2,78013881.96,139245290.9,78.49,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0081,-6.538307832,105.4616294,120,63891229.27,88135031.32,37.95,Sedang,Tengah,Baik,Normal,Normal
BR-0082,-5.673131143,108.2680577,22,50904312.35,80672893.36,58.48,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0083,-3.991958933,110.9165916,115,50000000,55259760.6,10.52,Sedang,Tengah,Baik,Normal,Normal
BR-0084,-6.986205327,105.8977806,57,80013445.03,120016974.7,50,Sedang,Atas,Baik,Normal,Normal
BR-0085,-7.421540404,106.3366491,101,50000000,65585356.76,31.17,Sedang,Tengah,Baik,Normal,Normal
BR-0086,-6.961435565,105.3913977,72,103011119.9,84431592.2,-18.04,Sedang,Bawah,Kurang,Normal,Normal
BR-0087,-4.835696823,104.3087082,7,51150527.19,151830737.8,196.83,Tinggi,Atas,Sangat Baik,High Performer,Extreme High
BR-0088,-5.715673336,105.2224061,78,50000000,40166066.73,-19.67,Sedang,Bawah,Kurang,Normal,Normal
BR-0089,-7.003440306,103.7857493,56,50123087.35,47458939.5,-5.32,Sedang,Tengah,Kurang,Normal,Normal
BR-0090,-5.43889885,106.9308087,119,139599690.3,178091697.6,27.57,Sedang,Tengah,Baik,Normal,Normal
BR-0091,-6.063183676,104.9206669,67,50000000,65944885.47,31.89,Sedang,Tengah,Baik,Normal,Normal
BR-0092,-4.755832514,107.4300648,114,81415169.49,58969578.3,-27.57,Sedang,Bawah,Kurang,Normal,Normal
BR-0093,-7.261879641,102.9558609,16,50000000,81079715.42,62.16,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0094,-6.70029322,107.6728006,119,103465947.8,147832406.1,42.88,Sedang,Tengah,Baik,Normal,Normal
BR-0095,-6.79696223,108.9294224,83,99066771.79,90954057.71,-8.19,Sedang,Bawah,Kurang,Normal,Normal
BR-0096,-8.404072422,101.8612609,51,199069645.7,116448990.6,-41.5,Sedang,Bawah,Kurang,Normal,Normal
BR-0097,-5.764619584,107.7807414,82,59095281.07,67489066.56,14.2,Sedang,Tengah,Baik,Normal,Normal
BR-0098,-5.817217092,109.9147725,116,98070079.97,100190601.7,2.16,Sedang,Tengah,Cukup,Normal,Normal
BR-0099,-6.201129815,103.8214975,80,69639362.86,86718847.17,24.53,Sedang,Tengah,Baik,Normal,Normal
BR-0100,-6.5606807,111.027031,72,142881056.5,150704270.9,5.48,Sedang,Tengah,Cukup,Normal,Normal
BR-0101,-8.331856113,107.8931475,97,50000000,19850862.79,-60.3,Sedang,Bawah,Kurang,Normal,Normal
BR-0102,-6.839767984,105.0830704,113,102667193.9,107252436.5,4.47,Sedang,Tengah,Cukup,Normal,Normal
BR-0103,-6.722871775,106.7061773,12,58420745.88,62963096.48,7.78,Sedang,Tengah,Cukup,Normal,Normal
BR-0104,-7.412215904,108.2414173,53,63179288.62,91828847.46,45.35,Sedang,Tengah,Baik,Normal,Normal
BR-0105,-6.450728567,107.0356135,75,69375996.28,63875876.32,-7.93,Sedang,Bawah,Kurang,Normal,Normal
BR-0106,-5.602723715,108.19249,5,76388616,142958993.2,87.15,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0107,-3.379521148,104.543916,27,61237026.59,26659158.61,-56.47,Sedang,Bawah,Kurang,Normal,Normal
BR-0108,-5.946933281,107.2690021,12,74687844.3,54318277.38,-27.27,Sedang,Bawah,Kurang,Normal,Normal
BR-0109,-5.822474414,103.3113138,17,169247184.5,187910479.7,11.03,Sedang,Tengah,Baik,Normal,Normal
BR-0110,-6.320468874,106.5675348,6,118600328.2,183099213,54.38,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0111,-9.086956823,104.5858309,97,110606869.4,136258880.2,23.19,Sedang,Tengah,Baik,Normal,Normal
BR-0112,-6.248570813,105.0067751,5,50000000,82791110.72,65.58,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0113,-6.118454685,109.9358329,57,50000000,52252760.71,4.51,Sedang,Tengah,Cukup,Normal,Normal
BR-0114,-2.513936831,109.5738753,28,116474198.6,88584664.86,-23.94,Sedang,Bawah,Kurang,Normal,Normal
BR-0115,-6.497341447,108.3684453,78,111065211.3,196385697,76.82,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0116,-5.756478986,104.1148181,69,158870888.1,183433557.3,15.46,Sedang,Tengah,Baik,Normal,Normal
BR-0117,-6.260867655,106.0545789,118,50000000,244464480.2,388.93,Tinggi,Atas,Sangat Baik,High Performer,Extreme High
BR-0118,-7.961817056,109.8783442,120,57211804.46,96911119.38,69.39,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0119,-4.494565778,107.1998923,59,50000000,39360895.16,-21.28,Sedang,Bawah,Kurang,Normal,Normal
BR-0120,-5.080900451,112.6439238,33,51883809.12,74619105.36,43.82,Sedang,Tengah,Baik,Normal,Normal
BR-0121,-5.022252079,107.8288946,62,119394334.3,851498514,613.18,Tinggi,Atas,Sangat Baik,Extreme Superstar,Extreme High
BR-0122,-7.572881182,107.3257228,50,50000000,57356612.89,14.71,Sedang,Tengah,Baik,Normal,Normal
BR-0123,-4.104608534,106.0728088,112,96426139.27,118499199.8,22.89,Sedang,Tengah,Baik,Normal,Normal
BR-0124,-8.311576594,107.1794523,105,58567947.65,35135571,-40.01,Sedang,Bawah,Kurang,Normal,Normal
BR-0125,-5.328514359,106.4644254,19,79752146.68,70857005.59,-11.15,Sedang,Bawah,Kurang,Normal,Normal
BR-0126,-2.923116561,108.6158717,86,50000000,87021457.85,74.04,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0127,-7.694604488,109.2373558,69,69104172.46,107420810.4,55.45,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0128,-7.058246594,104.8806263,66,50000000,58747208.45,17.49,Sedang,Tengah,Baik,Normal,Normal
BR-0129,-6.059322952,103.5175176,94,58694835.82,76141839.58,29.72,Sedang,Tengah,Baik,Normal,Normal
BR-0130,-6.964013481,102.2550866,47,50000000,54115149.89,8.23,Sedang,Tengah,Cukup,Normal,Normal
BR-0131,-8.534795147,108.1155783,39,135380069.4,235917824.5,74.26,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0132,-6.105955538,104.0871835,68,104682698.3,117229858.5,11.99,Sedang,Tengah,Baik,Normal,Normal
BR-0133,-7.802255571,101.4633735,33,86876887.58,112308952.9,29.27,Sedang,Tengah,Baik,Normal,Normal
BR-0134,-5.498411354,107.8170465,13,163545817.2,271226355.2,65.84,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0135,-7.587936351,113.0780988,84,50000000,44452570.3,-11.09,Sedang,Bawah,Kurang,Normal,Normal
BR-0136,-3.883898392,106.8304227,54,187336667.8,341611350,82.35,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0137,-7.383679939,108.9418269,7,114870382.1,67522583.75,-41.22,Sedang,Bawah,Kurang,Normal,Normal
BR-0138,-6.691892274,107.0501734,79,56971792.09,105503603.6,85.19,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0139,-4.988524174,106.5983759,87,129782702.2,136392504.9,5.09,Sedang,Tengah,Cukup,Normal,Normal
BR-0140,-8.055096475,109.1432912,14,50000000,55146025.04,10.29,Sedang,Tengah,Baik,Normal,Normal
BR-0141,-5.867610098,106.1199136,87,50000000,22199796.58,-55.6,Sedang,Bawah,Kurang,Normal,Normal
BR-0142,-4.248085869,107.5140808,19,50000000,50904105.65,1.81,Sedang,Tengah,Cukup,Normal,Normal
BR-0143,-8.620024852,107.6498445,54,50000000,39203869.38,-21.59,Sedang,Bawah,Kurang,Normal,Normal
BR-0144,-5.931849212,105.1753739,93,50000000,47847073.09,-4.31,Sedang,Tengah,Kurang,Normal,Normal
BR-0145,-5.818975809,109.3257059,120,136775279.3,156618036.9,14.51,Sedang,Tengah,Baik,Normal,Normal
BR-0146,-5.036065692,106.4082006,20,56214616.42,88994295,58.31,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0147,-8.064226066,104.9562371,29,81125101.25,104086858.7,28.3,Sedang,Tengah,Baik,Normal,Normal
BR-0148,-8.18948492,108.1868746,24,50000000,66153533.07,32.31,Sedang,Tengah,Baik,Normal,Normal
BR-0149,-5.425887652,104.59943,82,50000000,38089612.22,-23.82,Sedang,Bawah,Kurang,Normal,Normal
BR-0150,-5.76332299,106.9160529,63,77209604.28,65450455.25,-15.23,Sedang,Bawah,Kurang,Normal,Normal
BR-0151,-5.833060724,106.8228025,74,50000000,95974500.37,91.95,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0152,-5.689127686,109.5603389,105,63010981.1,57082881.92,-9.41,Sedang,Bawah,Kurang,Normal,Normal
BR-0153,-7.228837082,108.0323456,57,50000000,93124165.04,86.25,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0154,-5.860419454,106.7830326,8,216340821.5,238575362.1,10.28,Sedang,Tengah,Baik,Normal,Normal
BR-0155,-5.76919129,108.8900157,90,113443745,136236314.8,20.09,Sedang,Tengah,Baik,Normal,Normal
BR-0156,-7.280327127,110.3211189,62,69961263.95,113907156.6,62.81,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0157,-3.410138233,108.2401258,29,140150024,239482330.1,70.88,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0158,-5.498050619,106.8714815,74,50000000,57783748.79,15.57,Sedang,Tengah,Baik,Normal,Normal
BR-0159,-7.995755246,103.5660094,17,90974301.84,95041105.91,4.47,Sedang,Tengah,Cukup,Normal,Normal
BR-0160,-5.223969587,104.1828158,66,74022988.64,87171826.88,17.76,Sedang,Tengah,Baik,Normal,Normal
BR-0161,-7.670822505,106.0825382,6,76930428.76,102716201.5,33.52,Sedang,Tengah,Baik,Normal,Normal
BR-0162,-5.028173094,105.3218195,58,140879024.8,219281227.5,55.65,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0163,-4.470906631,106.3781717,69,101899262.6,122451522.9,20.17,Sedang,Tengah,Baik,Normal,Normal
BR-0164,-7.439823478,106.9872248,28,78079195.59,113023892.4,44.76,Sedang,Tengah,Baik,Normal,Normal
BR-0165,-4.763735806,108.1698319,62,50000000,92767194.65,85.53,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0166,-5.58962861,106.6693531,41,50000000,67626192.25,35.25,Sedang,Tengah,Baik,Normal,Normal
BR-0167,-4.97570976,108.0618541,69,60999403.28,80803539.24,32.47,Sedang,Tengah,Baik,Normal,Normal
BR-0168,-3.363610526,107.006786,82,69443457.94,41140781.53,-40.76,Sedang,Bawah,Kurang,Normal,Normal
BR-0169,-6.576882174,101.9069336,90,50000000,7385397.26,-85.23,Sedang,Bawah,Kurang,Normal,Normal
BR-0170,-7.339404247,104.4972615,84,279079153.9,1227575074,339.87,Tinggi,Atas,Sangat Baik,High Performer,Extreme High
BR-0171,-7.543071644,106.4853811,41,163093861.9,189526534.3,16.21,Sedang,Tengah,Baik,Normal,Normal
BR-0172,-7.432515427,103.8213631,49,94232057.26,93674856.51,-0.59,Sedang,Tengah,Kurang,Normal,Normal
BR-0173,-6.324452564,108.3454218,91,68560156.63,88950775.53,29.74,Sedang,Tengah,Baik,Normal,Normal
BR-0174,-5.697072038,110.6724771,49,57810132.33,67975379.76,17.58,Sedang,Tengah,Baik,Normal,Normal
BR-0175,-5.793763801,109.8925046,76,50000000,82555605.01,65.11,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0176,-4.968025126,106.3119928,71,68784453.52,84910579.83,23.44,Sedang,Tengah,Baik,Normal,Normal
BR-0177,-6.189297162,110.5724153,3,76641673.26,56426521.33,-26.38,Sedang,Bawah,Kurang,Normal,Normal
BR-0178,-4.028498884,107.2172686,10,50000000,79803324.78,59.61,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0179,-6.60578525,106.0028851,98,80237845.48,89316562.72,11.31,Sedang,Tengah,Baik,Normal,Normal
BR-0180,-2.12854625,105.3120933,89,59819638.66,84382460.06,41.06,Sedang,Tengah,Baik,Normal,Normal
BR-0181,-5.270298978,106.0894258,35,50000000,246568668.7,393.14,Tinggi,Atas,Sangat Baik,High Performer,Extreme High
BR-0182,-7.494536335,105.875158,80,50000000,47003462.29,-5.99,Sedang,Tengah,Kurang,Normal,Normal
BR-0183,-7.815138747,107.2716406,2,51230042.22,63200827.45,23.37,Sedang,Tengah,Baik,Normal,Normal
BR-0184,-5.485091377,107.247035,24,203792442.4,245596683.1,20.51,Sedang,Tengah,Baik,Normal,Normal
BR-0185,-6.543994178,106.8532151,74,91690733.04,127627156.7,39.19,Sedang,Tengah,Baik,Normal,Normal
BR-0186,-5.137799259,107.9379454,38,50000000,54627084.93,9.25,Sedang,Tengah,Cukup,Normal,Normal
BR-0187,-5.498943563,109.8222157,22,87892213.37,40909965.67,-53.45,Sedang,Bawah,Kurang,Normal,Normal
BR-0188,-6.318043369,109.2194853,26,50000000,51344522.33,2.69,Sedang,Tengah,Cukup,Normal,Normal
BR-0189,-7.478990577,103.1333551,43,125725891.7,190792483.9,51.75,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0190,-8.481070837,100.4607972,55,50000000,54052478.42,8.1,Sedang,Tengah,Cukup,Normal,Normal
BR-0191,-6.878572428,109.1813998,39,62072790.01,68369865.93,10.14,Sedang,Tengah,Baik,Normal,Normal
BR-0192,-4.924201809,103.4284033,91,145469643.7,231958708,59.46,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0193,-5.887659384,106.2836865,29,50000000,45760535.45,-8.48,Sedang,Bawah,Kurang,Normal,Normal
BR-0194,-8.077408168,103.9203174,111,50000000,29143935.64,-41.71,Sedang,Bawah,Kurang,Normal,Normal
BR-0195,-5.949028611,102.3406489,102,50000000,56787377.61,13.57,Sedang,Tengah,Baik,Normal,Normal
BR-0196,-5.63082393,108.1992568,20,122427222.7,123202238.3,0.63,Sedang,Tengah,Cukup,Normal,Normal
BR-0197,-7.534586154,108.7434879,91,50000000,40675073.6,-18.65,Sedang,Bawah,Kurang,Normal,Normal
BR-0198,-5.978212341,105.404324,41,50000000,56492430.88,12.98,Sedang,Tengah,Baik,Normal,Normal
BR-0199,-6.121486922,100.3679943,54,50088634.55,69953900.15,39.66,Sedang,Tengah,Baik,Normal,Normal
BR-0200,-7.923255447,105.4799889,20,91426367.54,109371953.3,19.63,Sedang,Tengah,Baik,Normal,Normal
BR-0201,-5.672118959,107.82511,108,134915208,178464815.7,32.28,Sedang,Tengah,Baik,Normal,Normal
BR-0202,-5.36762321,103.1483211,19,50000000,96268153.97,92.54,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0203,-4.584223135,107.3039998,84,51297061.91,54521003.01,6.28,Sedang,Tengah,Cukup,Normal,Normal
BR-0204,-4.628096922,106.8073254,99,131214040,172066147.5,31.13,Sedang,Tengah,Baik,Normal,Normal
BR-0205,-8.275304052,108.2938287,111,50000000,49815732.75,-0.37,Sedang,Tengah,Kurang,Normal,Normal
BR-0206,-7.61553756,107.1445509,66,52006929.9,44801687.63,-13.85,Sedang,Bawah,Kurang,Normal,Normal
BR-0207,-5.436247099,104.4129276,30,73607268.38,71107340.2,-3.4,Sedang,Tengah,Kurang,Normal,Normal
BR-0208,-5.438121074,109.8370288,53,85971915.14,86702381.66,0.85,Sedang,Tengah,Cukup,Normal,Normal
BR-0209,-5.436228471,106.4492761,34,50000000,67189515.95,34.38,Sedang,Tengah,Baik,Normal,Normal
BR-0210,-0.429702764,106.7773387,22,67030922.92,143421394.7,113.96,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0211,-5.352464234,104.5124301,67,50000000,45679131.27,-8.64,Sedang,Bawah,Kurang,Normal,Normal
BR-0212,-4.50545154,105.7373944,6,50000000,51667493.89,3.33,Sedang,Tengah,Cukup,Normal,Normal
BR-0213,-4.777797355,104.6335932,79,86193491.45,101255872.6,17.48,Sedang,Tengah,Baik,Normal,Normal
BR-0214,-5.231713123,106.4132349,27,50000000,67915976.97,35.83,Sedang,Tengah,Baik,Normal,Normal
BR-0215,-6.681703867,111.1248712,10,68025319.06,88801634.1,30.54,Sedang,Tengah,Baik,Normal,Normal
BR-0216,-5.070346169,103.4158471,73,85850974.85,147117520.1,71.36,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0217,-7.368037822,102.8116965,97,53461401.25,12266353.47,-77.06,Sedang,Bawah,Kurang,Normal,Normal
BR-0218,-6.56402791,110.5235258,96,72731000.08,17835681.46,-75.48,Sedang,Bawah,Kurang,Normal,Normal
BR-0219,-6.936845322,106.3222908,48,50000000,50082436.56,0.16,Sedang,Tengah,Cukup,Normal,Normal
BR-0220,-6.085988791,105.1729182,70,58004620.68,95064937.27,63.89,Sedang,Atas,Sangat Baik,Normal,Normal
BR-0221,-2.73681215,109.4453617,105,94691017.52,54328098.95,-42.63,Sedang,Bawah,Kurang,Normal,Normal
BR-0222,-9.009697789,105.3315612,59,72144656.29,-220253.01,-100.31,Sedang,Bawah,Kurang,Normal,Normal
BR-0223,-5.179409714,111.4106243,100,50000000,71423588.12,42.85,Sedang,Tengah,Baik,Normal,Normal
BR-0224,-8.627873807,108.5404147,59,75114925.79,97458828.66,29.75,Sedang,Tengah,Baik,Normal,Normal
BR-0225,-6.916697799,105.6258215,2,100811790.3,77011803.87,-23.61,Sedang,Bawah,Kurang,Normal,Normal
BR-0226,-4.575374105,112.2388705,29,50000000,40289207.99,-19.42,Sedang,Bawah,Kurang,Normal,Normal
BR-0227,-6.112379971,105.3313127,68,131621960.9,106890525.1,-18.79,Sedang,Bawah,Kurang,Normal,Normal
BR-0228,-7.825417167,108.7008384,65,53663689.46,66769120.53,24.42,Sedang,Tengah,Baik,Normal,Normal
BR-0229,-7.281755564,107.5938315,83,84756581.58,80474161.17,-5.05,Sedang,Tengah,Kurang,Normal,Normal
BR-0230,-5.189403377,110.0999532,26,134671381,188220165.3,39.76,Sedang,Tengah,Baik,Normal,Normal
BR-0231,-7.304349948,110.749378,89,50000000,2907466.74,-94.19,Sedang,Bawah,Kurang,Normal,Normal
